Series_Title,Released_Year,IMDB_Rating,Genre,Overview,Actors
Nightcrawler,2014,7.7,"Crime, Drama, Thriller","When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.","Jake Gyllenhaal, Louis Bloom, Rene Russo, Nina Romina, Riz Ahmed, Rick, Bill Paxton, Joe Loder, Kevin Rahm, Frank Kruse, Michael Hyatt, Detective Frontieri, Price Carson, Detective Lieberman, Kent Shocknek, Kent Shocknek, Sharon Tay, Sharon Tay"
Jaws,1975,7.7,"Horror, Thriller, Adventure","When an insatiable great white shark terrorizes the townspeople of Amity Island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast.","Roy Scheider, Police Chief Martin Brody, Robert Shaw, Quint, Richard Dreyfuss, Matt Hooper, Murray Hamilton, Mayor Larry Vaughn, Lorraine Gary, Ellen Brody, Jay Mello, Sean Brody, Jeffrey Kramer, Deputy Leonard 'Lenny' Hendricks, Carl Gottlieb, Ben Meadows, Susan Backlinie, Christine 'Chrissie' Watkins"
Jojo Rabbit,2019,8.1,"Comedy, War, Drama","A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.","Roman Griffin Davis, Johannes ""Jojo"" Betzler, Thomasin McKenzie, Elsa Korr, Scarlett Johansson, Rosie Betzler, Taika Waititi, Adolf Hitler, Sam Rockwell, Captain Klenzendorf, Rebel Wilson, Fraulein Rahm, Alfie Allen, Sub-Officer Finkel, Stephen Merchant, Captain Deertz, Archie Yates, Yorki"
Taxi Driver,1976,8.2,"Crime, Drama",A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,"Robert De Niro, Travis Bickle, Jodie Foster, Iris Steensma, Albert Brooks, Tom, Harvey Keitel, Sport Higgins, Leonard Harris, Senator Charles Palantine, Peter Boyle, Wizard, Cybill Shepherd, Betsy, Diahnne Abbott, Concession Girl, Frank Adu, Angry Black Man"
Drive,2011,7.6,"Drama, Thriller, Crime","Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.","Ryan Gosling, Driver, Carey Mulligan, Irene, Bryan Cranston, Shannon, Albert Brooks, Bernie Rose, Oscar Isaac, Standard Gabriel, Christina Hendricks, Blanche, Ron Perlman, Nino, Kaden Leos, Benicio, Jeff Wolfe, Tan Suit"
Die Hard,1988,7.8,"Action, Thriller","NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.","Bruce Willis, John McClane, Alan Rickman, Hans Gruber, Alexander Godunov, Karl, Bonnie Bedelia, Holly Gennaro McClane, Reginald VelJohnson, Al Powell, Paul Gleason, Dwayne Robinson, De'voreaux White, Argyle, William Atherton, Richard Thornburg, Hart Bochner, Harry Ellis"
The Imitation Game,2014,8.0,"History, Drama, Thriller, War","Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.","Benedict Cumberbatch, Alan Turing, Keira Knightley, Joan Clarke, Matthew Goode, Hugh Alexander, Rory Kinnear, Detective Robert Nock, Allen Leech, John Cairncross, Matthew Beard, Peter Hilton, Charles Dance, Commander Denniston, Mark Strong, Stewart Menzies, James Northcote, Jack Good"
Kubo and the Two Strings,2016,7.6,"Animation, Adventure, Family","Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.","Art Parkinson, Kubo (voice), Charlize Theron, Mother (voice), Brenda Vaccaro, Kameyo (voice), Cary-Hiroyuki Tagawa, Hashi (voice), Meyrick Murphy, Mari (voice), George Takei, Hosato (voice), Rooney Mara, The Sisters (voice), Ralph Fiennes, Moon King (voice), Matthew McConaughey, Beetle (voice)"
The Fault in Our Stars,2014,7.6,"Romance, Drama","Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.","Shailene Woodley, Hazel Grace Lancaster, Ansel Elgort, Augustus Waters, Nat Wolff, Isaac, Laura Dern, Frannie Lancaster, Sam Trammell, Michael Lancaster, Willem Dafoe, Peter van Houten, Lotte Verbeek, Lidewij Vliegenthart, Mike Birbiglia, Patrick, Ana Dela Cruz, Dr. Maria"
The Little Mermaid,2018,5.0,"Family, Adventure, Fantasy, Romance, Drama",A young reporter and his niece discover a beautiful and enchanting creature they believe to be the real little mermaid.,"Poppy Drayton, Elizabeth, Shirley MacLaine, Eloise, Loreto Peralta, Elle Harrison, William Moseley, Cam Harrison, Gina Gershon, Peggy Gene, Shanna Collins, Thora, William Forsythe, , Tom Nowicki, Sid, Lexy Kolker, Granddaughter Lily"
Akira,1990,7.9,"Animation, Science Fiction, Action",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,"Mitsuo Iwata, Shotaro Kaneda (voice), Nozomu Sasaki, Tetsuo Shima (voice), Mami Koyama, Kei (voice), Tessyo Genda, Ryûsaku (voice), Koichi Kitamura, Priestess Miyako / Council A (voice), Yuriko Fuchizaki, Kaori (voice), Masaaki Okura, Yamagata (voice), Takeshi Kusao, Kai (voice), Kazuhiro Kamifuji, Masaru / No. 27 (voice)"
Dawn of the Dead,2004,7.0,"Horror, Action","A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies.","Sarah Polley, Ana, Ving Rhames, Kenneth, Ty Burrell, Steve, Inna Korobkina, Luda, Jake Weber, Michael, Michael Kelly, C.J., Kim Poirier, Monica, Mekhi Phifer, Andre, Matt Frewer, Frank"
Dawn of the Dead,2004,7.0,"Horror, Action","A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies.","Sarah Polley, Ana, Ving Rhames, Kenneth, Ty Burrell, Steve, Inna Korobkina, Luda, Jake Weber, Michael, Michael Kelly, C.J., Kim Poirier, Monica, Mekhi Phifer, Andre, Matt Frewer, Frank"
Casino Royale,2006,7.5,"Adventure, Action, Thriller","Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.","Daniel Craig, James Bond, Eva Green, Vesper Lynd, Mads Mikkelsen, Le Chiffre, Judi Dench, M, Jeffrey Wright, Felix Leiter, Giancarlo Giannini, René Mathis, Caterina Murino, Solange Dimitrios, Simon Abkarian, Alex Dimitrios, Isaach De Bankolé, Steven Obanno"
Casino Royale,2006,7.5,"Adventure, Action, Thriller","Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.","Daniel Craig, James Bond, Eva Green, Vesper Lynd, Mads Mikkelsen, Le Chiffre, Judi Dench, M, Jeffrey Wright, Felix Leiter, Giancarlo Giannini, René Mathis, Caterina Murino, Solange Dimitrios, Simon Abkarian, Alex Dimitrios, Isaach De Bankolé, Steven Obanno"
First Blood,1982,7.5,"Action, Adventure, Thriller, War","When former Green Beret John Rambo is harassed by local law enforcement and arrested for vagrancy, the Vietnam vet snaps, runs for the hills and rat-a-tat-tats his way into the action-movie hall of fame. Hounded by a relentless sheriff, Rambo employs heavy-handed guerilla tactics to shake the cops off his tail.","Sylvester Stallone, John J. Rambo, Charles A. Tamburro, Pilot, Bill McKinney, State Police Capt. Dave Kern, Richard Crenna, Col. Samuel Trautman, Brian Dennehy, Hope Sheriff Will Teasle, Chris Mulkey, Deputy Ward, Jack Starrett, Deputy Sgt. Arthur Galt, Michael Talbott, Deputy Balford, John McLiam, Orval the Dog Man"
Ocean's Eleven,2002,7.4,"Thriller, Crime","Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.","George Clooney, Danny Ocean, Matt Damon, Linus Caldwell, Andy García, Terry Benedict, Brad Pitt, Rusty Ryan, Julia Roberts, Tess Ocean, Casey Affleck, Virgil Malloy, Scott Caan, Turk Malloy, Elliott Gould, Reuben Tishkoff, Eddie Jemison, Livingston Dell"
District 9,2009,7.4,Science Fiction,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.","Sharlto Copley, Wikus van der Merwe, Jason Cope, Christopher Johnson / Grey Bradnam / Trent, Nathalie Boltt, Sarah Livingstone - Sociologist, Sylvaine Strike, Dr Katrina McKenzie, Elizabeth Mkandawie, Interviewee, John Sumner, Les Feldman - MIL Engineer, William Allen Young, Dirk Michaels, Nick Blake, Francois Moraneu - CIV Engineer Team, Greg Melvill-Smith, Interviewer"
Kick-Ass,2010,7.1,"Action, Crime","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.","Aaron Taylor-Johnson, Dave Lizewski / Kick-Ass, Chloë Grace Moretz, Mindy Macready / Hit-Girl, Nicolas Cage, Damon Macready / Big Daddy, Lyndsy Fonseca, Katie Deauxma, Mark Strong, Frank D'Amico, Deborah Twiss, Mrs. Zane, Christopher Mintz-Plasse, Chris D'Amico / Red Mist, Elizabeth McGovern, Mrs. Lizewski, Omari Hardwick, Marcus"
Life of Pi,2013,7.4,"Adventure, Drama","The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.","Suraj Sharma, Pi Patel, Irrfan Khan, Adult Pi Patel, Ayush Tandon, Pi Patel (11-12 Years), Gautam Belur, Pi Patel (5 Years), Adil Hussain, Santosh Patel, Tabu, Gita Patel, Ayaan Khan, Ravi Patel (7 Years), Mohd Abbas Khaleeli, Ravi Patel (13-14 Years), Vibish Sivakumar, Ravi Patel (18-19 Years)"
Captain America: The Winter Soldier,2014,7.7,"Action, Adventure, Science Fiction","After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.","Chris Evans, Steve Rogers / Captain America, Scarlett Johansson, Natasha Romanoff / Black Widow, Sebastian Stan, James 'Bucky' Barnes / Winter Soldier, Anthony Mackie, Sam Wilson / Falcon, Cobie Smulders, Maria Hill, Frank Grillo, Brock Rumlow, Emily VanCamp, Kate / Agent 13, Hayley Atwell, Peggy Carter, Robert Redford, Alexander Pierce"
Planet of the Apes,2001,5.7,"Thriller, Science Fiction, Action, Adventure","After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.","Mark Wahlberg, Leo Davidson, Tim Roth, General Thade, Helena Bonham Carter, Ari, Michael Clarke Duncan, Attar, Kris Kristofferson, Karubi, Estella Warren, Daena, Paul Giamatti, Limbo, Cary-Hiroyuki Tagawa, Krull, Glenn Shadix, Senator Nado"
Planet of the Apes,2001,5.7,"Thriller, Science Fiction, Action, Adventure","After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.","Mark Wahlberg, Leo Davidson, Tim Roth, General Thade, Helena Bonham Carter, Ari, Michael Clarke Duncan, Attar, Kris Kristofferson, Karubi, Estella Warren, Daena, Paul Giamatti, Limbo, Cary-Hiroyuki Tagawa, Krull, Glenn Shadix, Senator Nado"
"South Park: Bigger, Longer & Uncut",1999,7.2,"Animation, Comedy","When the four boys see an R-rated movie featuring Canadians Terrance and Philip, they are pronounced ""corrupted"", and their parents pressure the United States to wage war against Canada.","Trey Parker, Stan Marsh / Eric Cartman / Gregory / Satan / Mr. Garrison / Mr. Hat / Phillip Niles Argyle / Randy Marsh / Clyde Donovan / Tom - News Reporter / Midget In A Bikini / Canadian Ambassador / Bombardiers / Mr. Mackey / Army General / Ned Gerblanski / Christophe - Ze Mole (or The Mole) / Big Gay Al (singing) / Adolf Hitler / Additional Voices (voice), Matt Stone, Kyle Broflovski / Kenny McCormick / Saddam Hussein / Terrance Henry Stoot / Big Gay Al / Ticket Taker / Stuart McCormick / Jimbo Kearn / Gerald Broflovski / Butters Stotch / Additional Voices (voice), Mary Kay Bergman, Liane Cartman / Sheila Broflovski / Sharon Marsh / Carol McCormick / Wendy Testaburger / Clitoris / Additional Voices (voice), Isaac Hayes, Chef Jerome McElroy (voice), Jesse Brant Howell, Ike Broflovski (voice), Anthony Cross-Thomas, Ike Broflovski (voice), Franchesca Clifford, Ike Broflovski (voice), Bruce Howell, Man in Theater (voice), Deb Adair, Woman in Theater (voice)"
The Curious Case of Benjamin Button,2008,7.6,"Drama, Fantasy, Romance","I was born under unusual circumstances. And so begins The Curious Case of Benjamin Button, adapted from the 1920s story by F. Scott Fitzgerald about a man who is born in his eighties and ages backwards: a man, like any of us, who is unable to stop time. We follow his story, set in New Orleans, from the end of World War I in 1918 into the 21st century, following his journey that is as unusual as any man's life can be. Benjamin Button, is a grand tale of a not-so-ordinary man and the people and places he discovers along the way, the loves he finds, the joys of life and the sadness of death, and what lasts beyond time.","Brad Pitt, Benjamin Button, Cate Blanchett, Daisy Fuller, Taraji P. Henson, Queenie, Julia Ormond, Caroline Fuller, Jason Flemyng, Thomas Button, Mahershala Ali, Tizzy Weathers, Jared Harris, Captain Mike, Elias Koteas, Monsieur Gateau, Phyllis Somerville, Grandma Fuller"
Evil Dead II,1987,7.6,"Horror, Comedy, Fantasy","Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""The Book of the Dead."" As they play the recording an evil power is unleashed taking over Linda's body.","Bruce Campbell, Ashley 'Ash' J. Williams, Sarah Berry, Annie Knowby, Dan Hicks, Jake, Kassie DePaiva, Bobby Joe, Ted Raimi, Possessed Henrietta, Denise Bixler, Linda, Richard Domeier, Ed Getley, John Peakes, Professor Raymond Knowby, Lou Hancock, Henrietta Knowby"
The Pursuit of Happyness,2007,7.9,Drama,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,"Will Smith, Chris Gardner, Jaden Smith, Christopher Gardner, Thandiwe Newton, Linda Gardner, Brian Howe, Jay Twistle, James Karen, Martin Frohm, Kurt Fuller, Walter Ribbon, Dan Castellaneta, Alan Frakesh, Joe Nuñez, Driver Who Hits Chris, David Fine, Big Guy Rodney"
Edge of Tomorrow,2014,7.6,"Action, Science Fiction","Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.","Tom Cruise, Maj. William 'Bill' Cage, Emily Blunt, Sgt. Rita Vrataski, Bill Paxton, Master Sergeant Farell, Brendan Gleeson, General Brigham, Noah Taylor, Dr. Carter, Kick Gurry, Griff, Dragomir Mrsic, Kuntz, Charlotte Riley, Nance, Jonas Armstrong, Skinner"
Edward Scissorhands,1991,7.7,"Fantasy, Drama, Romance",A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,"Johnny Depp, Edward Scissorhands, Winona Ryder, Kim, Dianne Wiest, Peg, Alan Arkin, Bill, Anthony Michael Hall, Jim, Vincent Price, The Inventor, Kathy Baker, Joyce, Robert Oliveri, Kevin, Conchata Ferrell, Helen"
Star Trek,2009,7.4,"Science Fiction, Action, Adventure","The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.","Chris Pine, James T. Kirk, Zachary Quinto, Spock, Leonard Nimoy, Mr. Spock, Eric Bana, Nero, Bruce Greenwood, Christopher Pike, Karl Urban, Leonard 'Bones' McCoy, Zoe Saldaña, Nyota Uhura, Simon Pegg, Montgomery 'Scotty' Scott, John Cho, Hikaru Sulu"
Skyfall,2012,7.2,"Action, Adventure, Thriller","When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.","Daniel Craig, James Bond, Judi Dench, M, Javier Bardem, Silva, Naomie Harris, Eve Moneypenny, Ralph Fiennes, Gareth Mallory, Ben Whishaw, Q, Albert Finney, Kincade, Bérénice Marlohe, Séverine, Rory Kinnear, Bill Tanner"
Full Metal Jacket,1987,8.1,"Drama, War",A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Matthew Modine, Pvt. Joker, Adam Baldwin, Animal Mother, Vincent D'Onofrio, Pvt. Pyle, R. Lee Ermey, Gny. Sgt. Hartman, Dorian Harewood, Eightball, Arliss Howard, Pvt. Cowboy, Kevyn Major Howard, Rafterman, Ed O'Ross, Lt. Touchdown, John Terry, Lt. Lockhart"
Back to the Future Part II,1989,7.8,"Adventure, Comedy, Science Fiction","Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.","Michael J. Fox, Marty McFly / Marty McFly Jr. / Marlene McFly, Christopher Lloyd, Emmett Brown, Lea Thompson, Lorraine McFly, Thomas F. Wilson, Biff Tannen / Griff Tannen, Elisabeth Shue, Jennifer Parker, James Tolkan, Strickland, Jeffrey Weissman, George McFly, Casey Siemaszko, 3-D, Billy Zane, Match"
The Shining,1980,8.2,"Horror, Thriller","Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.","Jack Nicholson, Jack Torrance, Shelley Duvall, Wendy Torrance, Scatman Crothers, Dick Hallorann, Danny Lloyd, Danny Torrance, Philip Stone, Delbert Grady, Joe Turkel, Lloyd, Barry Nelson, Stuart Ullman, Barry Dennen, Bill Watson, Tony Burton, Larry Durkin"
King Kong,2005,6.9,"Adventure, Drama, Action","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","Naomi Watts, Ann Darrow, Jack Black, Carl Denham, Adrien Brody, Jack Driscoll, Thomas Kretschmann, Captain Englehorn, Colin Hanks, Preston, Jamie Bell, Jimmy, Andy Serkis, Kong / Lumpy, Kyle Chandler, Bruce Baxter, Evan Parke, Hayes"
King Kong,2005,6.9,"Adventure, Drama, Action","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","Naomi Watts, Ann Darrow, Jack Black, Carl Denham, Adrien Brody, Jack Driscoll, Thomas Kretschmann, Captain Englehorn, Colin Hanks, Preston, Jamie Bell, Jimmy, Andy Serkis, Kong / Lumpy, Kyle Chandler, Bruce Baxter, Evan Parke, Hayes"
King Kong,2005,6.9,"Adventure, Drama, Action","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","Naomi Watts, Ann Darrow, Jack Black, Carl Denham, Adrien Brody, Jack Driscoll, Thomas Kretschmann, Captain Englehorn, Colin Hanks, Preston, Jamie Bell, Jimmy, Andy Serkis, Kong / Lumpy, Kyle Chandler, Bruce Baxter, Evan Parke, Hayes"
Psycho,1960,8.4,"Horror, Drama, Thriller","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.","Anthony Perkins, Norman Bates, Vera Miles, Lila Crane, John Gavin, Sam Loomis, Martin Balsam, Private Det. Milton Arbogast, John McIntire, Sheriff Al Chambers, Janet Leigh, Marion Crane, Simon Oakland, Dr. Fred Richman, Frank Albertson, Tom Cassidy, Patricia Hitchcock, Caroline"
Straight Outta Compton,2015,7.8,"Drama, Music, History","In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.","O'Shea Jackson Jr., Ice Cube, Corey Hawkins, Dr. Dre, Jason Mitchell, Eazy-E, Neil Brown Jr., DJ Yella, Aldis Hodge, MC Ren, Marlon Yates Jr., The D.O.C, R. Marcos Taylor, Suge Knight, Carra Patterson, Tomica, Alexandra Shipp, Kim"
Kill Bill: Vol. 1,2003,8.0,"Action, Crime","An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.","Uma Thurman, Beatrix ""The Bride"" Kiddo, Lucy Liu, O-Ren Ishii, Vivica A. Fox, Vernita Green, Daryl Hannah, Elle Driver, David Carradine, Bill, Michael Madsen, Budd, Julie Dreyfus, Sofie Fatale, Chiaki Kuriyama, Gogo Yubari, Shin'ichi Chiba, Hattori Hanzo"
Planet of the Apes,1968,7.6,"Science Fiction, Adventure, Drama, Action","Astronaut Taylor crash lands on a distant planet ruled by apes who use a primitive race of humans for experimentation and sport. Soon Taylor finds himself among the hunted, his life in the hands of a benevolent chimpanzee scientist.","Charlton Heston, George Taylor, Roddy McDowall, Cornelius, Kim Hunter, Zira, Maurice Evans, Dr. Zaius, James Whitmore, President of the Assembly, James Daly, Dr. Honorious, Linda Harrison, Nova, Robert Gunner, Landon, Lou Wagner, Lucius"
Planet of the Apes,1968,7.6,"Science Fiction, Adventure, Drama, Action","Astronaut Taylor crash lands on a distant planet ruled by apes who use a primitive race of humans for experimentation and sport. Soon Taylor finds himself among the hunted, his life in the hands of a benevolent chimpanzee scientist.","Charlton Heston, George Taylor, Roddy McDowall, Cornelius, Kim Hunter, Zira, Maurice Evans, Dr. Zaius, James Whitmore, President of the Assembly, James Daly, Dr. Honorious, Linda Harrison, Nova, Robert Gunner, Landon, Lou Wagner, Lucius"
Braveheart,1995,7.9,"Action, Drama, History, War","Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.","Mel Gibson, William Wallace, Catherine McCormack, Murron MacClannough, Sophie Marceau, Princess Isabelle, Patrick McGoohan, King Edward, Angus Macfadyen, Robert the Bruce, Brendan Gleeson, Hamish Campbell, James Robinson, Young William Wallace, James Cosmo, Campbell, Sean McGinley, MacClannough"
The Departed,2006,8.2,"Drama, Thriller, Crime","To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.","Jack Nicholson, Francis 'Frank' Costello, Leonardo DiCaprio, William ""Billy"" Costigan, Jr., Matt Damon, Staff Sgt. Colin Sullivan, Mark Wahlberg, Staff Sgt. Sean Dignam, Vera Farmiga, Dr. Madolyn Madden, Martin Sheen, Capt. Oliver Charles Queenan, Ray Winstone, Arnold ""Frenchy"" French, Anthony Anderson, Trooper Brown, Alec Baldwin, Capt. George Ellerby"
Dead Poets Society,1989,8.3,Drama,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.","Robin Williams, John Keating, Ethan Hawke, Todd Anderson, Robert Sean Leonard, Neil Perry, Gale Hansen, Charlie Dalton, Josh Charles, Knox Overstreet, Dylan Kussman, Richard Cameron, Allelon Ruggiero, Steven Meeks, James Waterston, Gerard Pitts, Norman Lloyd, Mr. Nolan"
Pan's Labyrinth,2006,7.8,"Fantasy, Drama, War","Living with her tyrannical stepfather in a new home with her pregnant mother, 10-year-old Ofelia feels alone until she explores a decaying labyrinth guarded by a mysterious faun who claims to know her destiny. If she wishes to return to her real father, Ofelia must complete three terrifying tasks.","Ivana Baquero, Ofelia, Maribel Verdú, Mercedes, Sergi López, Capitán Vidal, Doug Jones, Fauno / Pale Man, Ariadna Gil, Carmen, Álex Angulo, Dr. Ferreiro, Roger Casamajor, Pedro, Manolo Solo, Garcés, César Vea, Serrano"
Black Hawk Down,2002,7.4,"Action, History, War","When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.","Josh Hartnett, SSgt. Matt Eversmann, Ewan McGregor, Spec. John Grimes, Eric Bana, Sfc. Norm 'Hoot' Hooten, Jason Isaacs, Capt. Mike Steele, William Fichtner, Sfc. Jeff Sanderson, Tom Sizemore, Lt. Col. Danny McKnight, Ewen Bremner, Spec. Shawn Nelson, Sam Shepard, Maj. Gen. William F. Garrison, Orlando Bloom, Todd Blackburn"
Flipped,2011,8.0,"Romance, Drama","When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.","Madeline Carroll, Julianna ""Juli"" Baker, Callan McAuliffe, Bryce Loski, Rebecca De Mornay, Pasty Loski, Anthony Edwards, Steven Loski, John Mahoney, Chet Duncan, Penelope Ann Miller, Trina Baker, Aidan Quinn, Richard Baker, Kevin Weisman, Daniel Baker, Morgan Lily, Young Juli"
